title,body,labels,milestone
"[S2] Construção de blocos com energia e centroide","Corrigir build_beat_blocks; adicionar starts_on_strong_beat. Invariantes I7. Ver docs/04 §5.","area/dsp,type/feat,prio/p0","S2 Motor DSP"
"[S2] Chroma e detecção de seções","Mapeamento de bins para classes de pitch, matriz de similaridade, novelty curve. Ver docs/04 §4.5.","area/dsp,type/feat,prio/p2","S2 Motor DSP"
"[S2] Seleção por knapsack com restrições","DP exato até 500 blocos, guloso acima. Primeiro bloco em batida forte, ordem cronológica, intro/outro reservados. Invariantes I8 e I9. Ver docs/04 §6.1.","area/dsp,type/feat,prio/p0","S2 Motor DSP"
"[S2] Modo contínuo de melhor janela","Janela deslizante com prefix sum, bordas ajustadas para batida forte. Ver docs/04 §6.2.","area/dsp,type/feat,prio/p2","S2 Motor DSP"
"[S2] Zero-crossing, fades e crossfade","Invariantes I3, I4 e I5. O I4 é o teste anti-estalo. Ver docs/04 §7.","area/dsp,type/feat,prio/p0","S2 Motor DSP"
"[S2] AudioStitchingPolicy","Diferença de dBFS define a duração da transição e emite warning acima de 8 dB. Ver docs/04 §7.3.","area/dsp,type/feat,prio/p1","S2 Motor DSP"
"[S2] Compressor com detector RMS","Soft knee, envelope one-pole. Invariante I1: nunca aumenta o pico. Ver docs/04 §8.1.","area/dsp,type/feat,prio/p0","S2 Motor DSP"
"[S2] Limiter brickwall com lookahead","Invariante I2: nenhuma amostra acima do teto. Ver docs/04 §8.2.","area/dsp,type/feat,prio/p0","S2 Motor DSP"
"[S2] Normalização LUFS com ebur128","Invariante I11: dentro de ±0,5 LU do alvo. Presets por plataforma. Ver docs/04 §8.3.","area/dsp,type/feat,prio/p0","S2 Motor DSP"
"[S2] Time-stretch com rubato","Fator limitado a 0,90-1,10. Invariante I12. Ver docs/04 §8.4.","area/dsp,type/feat,prio/p1","S2 Motor DSP"
"[S2] Escrita atômica de artefato","tmp, fsync, rename, fsync do diretório. Ver docs/06 §4. Sem isso não existe recovery confiável.","area/api,type/feat,prio/p0,pillar/atomicity","S2 Motor DSP"
"[S2] Loop do worker","Consome fila, executa DSP em spawn_blocking, persiste, emite SSE, atualiza heartbeat.","area/api,type/feat,prio/p0","S2 Motor DSP"
"[S2] Invariantes de DSP com proptest","I1 a I13 de docs/10 §3, 10.000 casos cada.","area/dsp,type/test,prio/p0","S2 Motor DSP"
"[S2] Benchmarks com criterion e baseline no CI","Falha se p95 piorar mais de 20%. Orçamento em docs/04 §11.","area/dsp,type/test,prio/p2","S2 Motor DSP"
"[S2] Endpoint de picos da waveform","GET /tracks/:id/peaks?resolution=1024 para a UI desenhar sem baixar o WAV.","area/api,type/feat,prio/p1","S2 Motor DSP"
"[S2] Canvas com React Flow","Tipos de nó, store Zustand, conectores, validação de aresta no cliente.","area/ui,type/feat,prio/p0,status/needs-design","S2 Motor DSP"
"[S2] Painel de propriedades genérico","Controles: slider com unidade, enum, toggle, multi-select, numérico. Limites vindos de GET /tools.","area/ui,type/feat,prio/p0,status/needs-design","S2 Motor DSP"
"[S2] Sessão de escuta: validar 5 renders","Ouvir 5 renders reais e aprovar a qualidade sonora. Bloqueia o fim da sprint. Métrica não substitui ouvido.","area/dsp,type/spike,prio/p0","S2 Motor DSP"
"[S3] Trait LlmProvider e adapters OpenAI e Ollama","HTTP direto com reqwest, formato compatível com OpenAI. Ver ADR-0004.","area/agent,type/feat,prio/p0","S3 Agente e UI"
"[S3] Loader de prompt com minijinja","Carregamento do disco em runtime, templating com contexto da faixa. Ver docs/05 §5.","area/agent,type/feat,prio/p0","S3 Agente e UI"
"[S3] Loop ReAct com budget e retry","MAX_TOOLS=5, retry de validação sem consumir budget (teto 2), consolidação forçada. Ver docs/05 §2.","area/agent,type/feat,prio/p0","S3 Agente e UI"
"[S3] ValidationLayer com limites e regras cruzadas","Tabela canônica de docs/05 §3 e regras R1-R7. Cobertura de 100%.","area/agent,type/feat,prio/p0,pillar/validation","S3 Agente e UI"
"[S3] Erro de validação como observação estruturada","JSON com field, received, constraint e hint. Sem o hint o modelo repete o erro.","area/agent,type/feat,prio/p1,pillar/validation","S3 Agente e UI"
"[S3] Guarda anti prompt injection","Padrões proibidos, limite de tamanho, bloqueio de Unicode de direção. Ver docs/05 §7.","area/agent,type/feat,prio/p0","S3 Agente e UI"
"[S3] Ciclo de propostas HITL","Criar, TTL de 120s, aprovar, rejeitar, expirar. Regras P1-P8 de docs/05 §4.","area/agent,type/feat,prio/p0","S3 Agente e UI"
"[S3] Replanejamento após rejeição","Observação PROPOSAL_REJECTED com hint; o agente tenta outra estratégia sem falhar o job.","area/agent,type/feat,prio/p0","S3 Agente e UI"
"[S3] Streaming de raciocínio via SSE","Evento agent.thought com delta e done. Ver docs/03 §5.","area/agent,type/feat,prio/p0","S3 Agente e UI"
"[S3] Fallback quando o LLM está indisponível","Job completa em modo manual com aviso. Cenário A5. LLM fora do ar não pode impedir render.","area/agent,type/feat,prio/p0","S3 Agente e UI"
"[S3] Cenários A1-A10 do agente com MockLlm","docs/05 §9. Inclui alucinação de valor, JSON malformado, ferramenta não autorizada e budget esgotado.","area/agent,type/test,prio/p0","S3 Agente e UI"
"[S3] Painel de raciocínio com streaming estável","Acumular delta sem relayout. Estados colapsado, expandido e de erro. Cenário U1.","area/ui,type/feat,prio/p0,status/needs-design","S3 Agente e UI"
"[S3] Overlay de proposta","Todas as variações: pendente, expirada, decidida em outra aba, duas em fila. Cenários U3, U4, U5, U10.","area/ui,type/feat,prio/p0,status/needs-design","S3 Agente e UI"
"[S3] Sliders preenchidos por SSE respeitando travas","Campo USER_DEFINED nunca é sobrescrito. Cenário U2.","area/ui,type/feat,prio/p0","S3 Agente e UI"
"[S3] Trava manual de parâmetro","PATCH de parâmetro com feedback visual de cadeado. Cenário U7.","area/ui,type/feat,prio/p0","S3 Agente e UI"
"[S3] Tela de resultado com player e comparação A/B","Waveform com marcadores de emenda, métricas de LUFS e pico, warnings, troca instantânea com o original.","area/ui,type/feat,prio/p1,status/needs-design","S3 Agente e UI"
"[S3] Biblioteca de faixas e upload com presign","Upload direto para o storage, análise em background, lista com estado.","area/ui,type/feat,prio/p1","S3 Agente e UI"
"[S4] Recovery loop completo","Lock nos dois bancos, verificação de artefato por SHA-256, limpeza de tmp e propostas. Ver docs/06 §5.","area/api,type/feat,prio/p0,pillar/atomicity","S4 Resiliência"
"[S4] Detecção de job travado por heartbeat","Jobs em running sem heartbeat por 2 min voltam para a fila, respeitando max_attempts.","area/api,type/feat,prio/p0,pillar/queue","S4 Resiliência"
"[S4] Testes de injeção de falha R1-R7","docs/10 §4. O R2 (SIGKILL após rename, antes do UPDATE) é o mais importante.","area/api,type/test,prio/p0,pillar/atomicity","S4 Resiliência"
"[S4] OpenTelemetry com propagação completa","Spans, traceparent em HTTP, SSE e fila, propagação para threads Rayon. Ver docs/07.","area/infra,type/feat,prio/p0,pillar/tracing","S4 Resiliência"
"[S4] Métricas Prometheus","Negócio, LLM, DSP e infra. Ver docs/07 §4. Incluir proposals_total e param_overrides_total.","area/infra,type/feat,prio/p1,pillar/tracing","S4 Resiliência"
"[S4] Bundle local de observabilidade e dashboards","Grafana, Tempo, Loki e Prometheus em compose separado, com 4 dashboards provisionados.","area/infra,type/feat,prio/p2","S4 Resiliência"
"[S4] Implementar MFCC de verdade","Substituir o placeholder vec![0.0;13]. Banco de filtros Mel, log, DCT-II. Ver docs/04 §9.","area/dsp,type/feat,prio/p0","S4 Resiliência"
"[S4] Normalizar componentes da distância de fingerprint","Somar Hz com amplitude produz distância dominada pelo centroide. Normalizar antes de ponderar.","area/dsp,type/fix,prio/p0","S4 Resiliência"
"[S4] Fixtures de Golden Master","4 faixas originais ou CC0: bossa estável, punk agressivo, ambiente sem batida, jam com tempo instável. Nunca música comercial.","area/dsp,type/chore,prio/p0","S4 Resiliência"
"[S4] Testes de Golden Master no CI","Ollama com seed fixo, limiares de 0,05 / 0,15 / 0,35, WAVs anexados como artifact do build.","area/dsp,type/test,prio/p0","S4 Resiliência"
"[S4] Linter de prompt completo","6 verificações de docs/09 §2, incluindo constraint mais permissiva que o limite do tipo.","area/agent,type/feat,prio/p1","S4 Resiliência"
"[S4] Version freeze no backend e na UI","Congela modelo e versão do prompt no projeto. Falha alto se a versão não existir mais. Ver docs/09 §7.","area/api,type/feat,prio/p1","S4 Resiliência"
"[S4] Botão de escala com bollard e fallback","Sobe containers worker via Docker API; sem Docker, ajusta o pool de threads. Ver docs/11 §4.","area/infra,type/feat,prio/p1","S4 Resiliência"
"[S4] Painel de recursos e banner de recuperação","Slider de processadores, estado da fila, relatório de recuperação pós-queda.","area/ui,type/feat,prio/p1,status/needs-design","S4 Resiliência"
"[S4] E2E de caos E2, E3, E6 e E9","SIGKILL durante render, LLM em timeout, lote de 50 jobs, disco cheio. Ver docs/10 §6.","area/infra,type/test,prio/p0","S4 Resiliência"
"[S4] Auditoria em todas as ações sensíveis","Lista de ações obrigatórias em docs/06 §2. Tabela imutável, sem UPDATE nem DELETE.","area/api,type/feat,prio/p1","S4 Resiliência"
"[ADR] Decidir provedor LLM padrão do MVP","ADR-0009 está proposto. Recomendação: detectar Ollama no boot, senão pedir chave. Precisa de dono e decisão antes da S2.","type/spike,prio/p0,status/blocked","S1 Contratos"
"[ADR] Decidir separação de stems no MVP","ADR-0010 está proposto. Recomendação: binário externo opcional. Precisa de dono e decisão antes da S3.","type/spike,prio/p1,status/blocked","S2 Motor DSP"
"[Design] Fluxos das 3 jornadas críticas","Primeiro render, proposta aprovada, proposta recusada. Entregável da Fase 1, bloqueia a S3.","area/ui,type/chore,prio/p0,status/needs-design","S1 Contratos"
"[Design] Anatomia do nó com os 8 estados","Matriz de estados de docs/12 §4. O estado proposed é o mais importante do sistema.","area/ui,type/chore,prio/p0,status/needs-design","S1 Contratos"
"[Design] Overlay de proposta","Todas as variações, com contador de expiração. Ver docs/12 tela 6.","area/ui,type/chore,prio/p0,status/needs-design","S2 Motor DSP"
"[Design] Tokens de design","Cor, tipografia com dígitos tabulares, espaçamento, raio, sombra, movimento. Exportáveis em JSON ou Figma Variables.","area/ui,type/chore,prio/p0,status/needs-design","S2 Motor DSP"
